"MC.order.supervized.plot..figure.legends.etc"	"Abbreviations..short..for.figures."	"Color.code"	"technical.Abbreviations..internal.use."	"group.name.V11"	"MC.Familes"	"Group.summary..1..Histology..1.sentence..2..Location.and.age..1.sentence...3..Typical.CN.changes.observable.on.450K.CNP..at.least.observed.in.20..of.cases..one.sentence...4..Principal.molecular.features.besides.methylation.and.CNP..e.g..recurrent.gene.pathway.mutations.observed.in.at.least.20..of.cases..1.sentence...5..WHO.equivalent..if.very.close.to.WHO.group."	"groupSize"	"age.median..range."	"Male.Female"	"Class.in.comparisson.to.WHO..equivalent..more.than.95..of.respective.class..no.subclasses..subclass..more.than.95..but.subclasses..combination..less.than.95..of.one.WHO.entity.."	"Diagnosis_Max_1"	"Diagnosis_Max_2"	"LocalisationStandarized"	"Publication"	"Author"	"age_median"	"age_min"	"age_max"	"age_mean"	"Diagnosis_Max_3"	"Old.group.order."	"Short.Class.name.for.graphical.table"	"Old.names..do.not.use...internal.name.only."	"German.name.V11"
1	"ETMR"	"1693d6"	"ETMR"	"methylation class embryonal tumor with multilayered rosettes"	NA	"The methylation class "embryonal tumor with multilayered rosettes" is comprised of tumors with the diagnosis embryonal tumor with multilayered rosettes, C19MC-altered. The majority of tumors are located supratentorially. Median age is 3 years (range 2 to 3). Molecularly, these aggressive tumors frequently harbor amplification of the C19MC miRNA cluster (all cases of reference cohort) together with a TTYH1-C19MC fusion. Gain of one copy of chromosome 2 is frequently also observed (>60% of cases), and expression of LIN28A is high at both mRNA and protein level. Rarely, tumors with this molecular phenotype but lacking the C19MC amplification may be seen."	43	"3 (2-3)"	1	"WHO equivalent"	"Embryonal tumour with multilayered rosettes, C19MC-altered            (43; 100%)"	""	"supra (23; 82.1%), PF (5; 17.9%)"	"Korshunov et al., Acta Neuropathologica 2014, PMID: 24337497; Kleinman et al., Nat Genet. 2014 Jan;46(1):39-44. PMID: 24316981 "	"DJ"	3	2	3	2.55172413793103	""	31	"Embryonal"	"ETMR"	"Methylierungsklasse embryonaler Tumor mit mehrreihigen Rosetten"
2	"MB, G3"	"0581be"	"MB_G3"	"methylation class medulloblastoma, subclass group 3"	"MTGF_MB_G3G4"	"The methylation class "medulloblastoma, subclass group 3" is comprised of tumors with the diagnosis medulloblastoma, genetically defined, group 3. Histologically most cases fall into the classical and large cell/anaplastic groups. Tumors are located in the cerebellum, typically in the vermis. Median age is 4 years (range 1 to 17). Group 3 medulloblastomas are more common in males than females. MYC amplification, aneuploidy, isochromosome 17q and GFI1/1B activation by enhancer hijacking are recurrent features, but a fraction lack an obvious driving genetic change."	77	"4 (1-17)"	3.3125	"WHO equivalent"	"Medulloblastoma, genetically defined, group 3  (77; 100%)"	""	"PF (73; 100%)"	"Taylor et al., Acta Neuropathol 2012, PMID: 22134537; Hovestadt et al., Acta Neuropathol. 2013 Jun;125(6):913-6. PMID: 23670100; Hovestadt et al., Nature. 2014 Jun 26;510(7506):537-41.PMID: 24847876"	"DJ"	4	1	17	5.37333333333333	""	51	"Embryonal"	"MB_G3"	"Methylierungsklasse Medulloblastom, Gruppe 3"
3	"MB, G4"	"9dc3f5"	"MB_G4"	"methylation class medulloblastoma, subclass group 4"	"MTGF_MB_G3G4"	"The methylation class "medulloblastoma, subclass group 4" is comprised of tumors with the diagnosis medulloblastoma, genetically defined, group 4. Histologically most cases fall into the classical and large cell/anaplastic groups. This is the most common molecular subtype of medulloblastoma (~35-40% of cases). Tumors originate in the cerebellum, typically in the vermis. Median age is 8 years (range 2-49 years). Group 4 medulloblastomas are more common in males than females. MYCN amplification, isochromosome 17q, and anueploidy are recurrent features, but a fraction lack an obvious driving genetic change."	138	"8 (2-49)"	2.875	"WHO equivalent"	"Medulloblastoma, genetically defined, group 4 (138; 100%)"	""	"PF (127; 100%), supra (2; 1.6%), spinal (1; 0.8%)"	"Taylor et al., Acta Neuropathol 2012, PMID: 22134537; Hovestadt et al., Acta Neuropathol. 2013 Jun;125(6):913-6. PMID: 23670100; Hovestadt et al., Nature. 2014 Jun 26;510(7506):537-41.PMID: 24847876"	"DJ"	8	2	49	10.3636363636364	""	52	"Embryonal"	"MB_G4"	"Methylierungsklasse Medulloblastom, Gruppe 4"
4	"MB, WNT"	"6da7d9"	"MB_WNT"	"methylation class medulloblastoma, WNT"	NA	"The methylation class "medulloblastoma, WNT" is comprised of tumors diagnosed as Medulloblastoma, genetically defined, WNT-activated. Histologically most cases fall into the classic variant, sometimes into the large cell/anaplastic variant. Tumors are located in the cerebellum, typically in the vermis. Median age is 12 years (range 6 to 27). Monosomy of chromosome 6 (>80%) together with mutation of CTNNB1 is (almost) pathognomonic for this class."	39	"12 (6-27)"	0.85	"WHO equivalent"	"Medulloblastoma, genetically defined, WNT-activated  (39; 100%)"	""	"PF (39; 100%)"	"Taylor et al., Acta Neuropathol 2012, PMID: 22134537; Hovestadt et al., Acta Neuropathol. 2013 Jun;125(6):913-6. PMID: 23670100; Hovestadt et al., Nature. 2014 Jun 26;510(7506):537-41.PMID: 24847876"	"DJ"	12	6	27	12.3421052631579	""	55	"Embryonal"	"MB_WNT"	"Methylierungsklasse Medulloblastom, WNT Subtyp"
5	"MB, SHH CHL AD"	"2e80c6"	"MB_SHH_CHL_AD"	"methylation class medulloblastoma, subclass SHH A (children and adult)"	"MTGF_MB_SHH"	"The methylation class "medulloblastoma, subclass SHH A (children and adult)" is comprised of tumors diagnosed as Medulloblastoma, genetically defined, SHH-activated occurring in non-infant patients. Histologically most cases fall into the desmoplastic variant, sometimes classic and occasionally large cell/anaplastic groups. Tumors are located in the cerebellum, usually laterally. Median age is 22 years (range 3 to 51). Upstream SHH pathway alterations (i.e. PTCH1 and SMO) are relatively common. Importantly, this methylation class also includes the majority of TP53-mutated SHH tumors (often Li-Fraumeni associated), which typically occur in children (~8-16 years) and often have large cell/anaplastic morphology, with dramatic copy number alterations (chromothripsis)."	84	"22 (3-51)"	2	"WHO subclass"	"Medulloblastoma, genetically defined, SHH-activated        (84; 100%)"	""	"PF (65; 100%)"	"Kool et al., Cancer Cell 2014, PMID: 24651015; Taylor et al., Acta Neuropathol 2012, PMID: 22134537; Hovestadt et al., Acta Neuropathol. 2013 Jun;125(6):913-6. PMID: 23670100; Hovestadt et al., Nature. 2014 Jun 26;510(7506):537-41.PMID: 24847876"	"DJ"	22	3	51	22.6	""	53	"Embryonal"	"MB_SHH_AD"	"Methylierungsklasse Medulloblastom, SHH Subtyp A (kindlich und adult)"
6	"MB, SHH INF"	"8bc0ff"	"MB_SHH_INF"	"methylation class medulloblastoma, subclass SHH B (infant)"	"MTGF_MB_SHH"	"The methylation class "medulloblastoma, subclass SHH B (infant)" is comprised of tumors diagnosed as Medulloblastoma, genetically defined, SHH-activated. Histologically most cases fall into the desmoplastic or extensive nodularity variant, sometimes classic and rarely large cell/anaplastic. Tumors are located in the cerebellum, usually laterally. Median age is 2 years (range 0-6 years). Mutations of PTCH1 or SUFU are relatively common, and in the youngest patients these may also have a germline origin (Gorlin's syndrome)."	52	"2 (0-6)"	0.857142857142857	"WHO subclass"	"Medulloblastoma, genetically defined, SHH-activated        (52; 100%)"	""	"PF (35; 100%), supra (1; 2.9%)"	"Kool et al., Cancer Cell 2014, PMID: 24651015; Taylor et al., Acta Neuropathol 2012, PMID: 22134537; Hovestadt et al., Acta Neuropathol. 2013 Jun;125(6):913-6. PMID: 23670100; Hovestadt et al., Nature. 2014 Jun 26;510(7506):537-41.PMID: 24847876; "	"DJ"	2	0	6	2.05128205128205	""	54	"Embryonal"	"MB_SHH_INF"	"Methylierungsklasse Medulloblastom, SHH Subtyp B (infantil)"
7	"ATRT, MYC"	"006ead"	"ATRT_MYC"	"methylation class atypical teratoid/rhabdoid tumor, subclass MYC"	"MTGF_ATRT"	"The methylation class "atypical teratoid/rhabdoid tumor, subclass MYC" exclusively comprises tumors with atypical teratoid/rhabdoid histology, although rhabdoid cells may be scarce in some instances. This class is a member of the “methylation-class-family atypical teratoid/rhabdoid tumor”. A supratentorial location is more common than infratentorial; median age is 2 years (range 0 to 25). Molecularly, virtually all cases show loss of INI1 (SMARCB1) protein, and this subtype shows activation of the MYC oncogene. Loss of SMARCB1 (either focal or as part of a larger deletion) is detectable in over 90% of cases by copy number analysis. "	29	"2 (0-25)"	1.63636363636364	"WHO subclass"	"Atypical teratoid/rhabdoid tumour                (29; 100%)"	""	"supra (17; 73.9%), PF (4; 17.4%), mesenchyme (1; 4.3%)"	"Johann et al., Cancer Cell. 2016 Mar 14;29(3):379-93; PMID: 26923874"	"DJ"	2	0	25	4.66666666666667	""	2	"Embryonal"	"ATRT_MYC"	"Methylierungsklasse atypischer teratoider/rhabdoider Tumor, Subtyp MYC"
8	"ATRT, SHH"	"009cea"	"ATRT_SHH"	"methylation class atypical teratoid/rhabdoid tumor, subclass SHH"	"MTGF_ATRT"	"The methylation class "atypical teratoid/rhabdoid tumor, subclass SHH" exclusively comprises tumors with atypical teratoid/rhabdoid histology, although rhabdoid cells may be scarce in some instances. This class is a member of the “methylation-class-family atypical teratoid/rhabdoid tumor”. Supratentorial and infratentorial locations are equally likely; median age is 2 years (range 0 to 11). Molecularly, virtually all cases show loss of INI1 (SMARCB1) protein, and this subtype shows SHH pathway activation. Loss of SMARCB1 (in most cases as part of a chromosome 22 loss) is detectable in around 50% of cases by copy number analysis."	46	"2 (0-11)"	1.64705882352941	"WHO subclass"	"Atypical teratoid/rhabdoid tumour                (46; 100%)"	""	"supra (22; 57.9%), PF (16; 42.1%)"	"Johann et al., Cancer Cell. 2016 Mar 14;29(3):379-93; PMID: 26923874"	"DJ"	2	0	11	2.20512820512821	""	3	"Embryonal"	"ATRT_SHH"	"Methylierungsklasse atypischer teratoider/rhabdoider Tumor, Subtyp SHH"
9	"ATRT, TYR"	"44aeff"	"ATRT_TYR"	"methylation class atypical teratoid/rhabdoid tumor, subclass TYR"	"MTGF_ATRT"	"The methylation class "atypical teratoid/rhabdoid tumor, subclass TYR" exclusively comprises tumors with atypical teratoid/rhabdoid histology, although rhabdoid cells may be scarce in some instances. This class is a member of the “methylation-class-family atypical teratoid/rhabdoid tumor”. An infratentorial location is more common than supratentorial; median age is 1 year (range 0 to 9). Molecularly, virtually all cases show loss of INI1 (SMARCB1) protein, and many cases of this subtype show strong tyrosinase expression (mRNA & protein). Loss of chromosome 22 is observed in over 80% of cases by copy number analysis."	37	"1 (0-9)"	0.8	"WHO subclass"	"Atypical teratoid/rhabdoid tumour                (37; 100%)"	""	"PF (22; 78.6%), supra (6; 21.4%)"	"Johann et al., Cancer Cell. 2016 Mar 14;29(3):379-93; PMID: 26923874"	"DJ"	1	0	9	1.76666666666667	""	4	"Embryonal"	"ATRT_TYR"	"Methylierungsklasse atypischer teratoider/rhabdoider Tumor, Subtyp TYR"
10	"CNS NB, FOXR2"	"518ccb"	"CNS_NB_FOXR2"	"methylation class CNS neuroblastoma with FOXR2 activation"	NA	"The methylation class "CNS neuroblastoma with FOXR2 activation" typically displays embryonal histology and a small-cell phenotype. All tumors have a supratentorial location; median age is 6 years (range 2 to 16). Gain of chromosome 1q (>80%) and focal or total loss of 16q (>60%) are characteristic copy-number alterations. Molecularly, these tumors show activation of transcription factor FOXR2 by various structural rearrangements. "	39	"6 (2-16)"	0.75	"WHO subclass"	"CNS embryonal tumour, NOS            (38; 97.4%)"	"Glioblastoma, IDH-wildtype  (1; 2.6%)"	"supra (34; 100%)"	"Sturm et al., Cell. 2016 Feb 25;164(5):1060-72; PMID: 26919435"	"DS"	6	2	16	6.68421052631579	""	8	"Embryonal"	"CNS_NB"	"Methylierungsklasse ZNS Neuroblastom mit FOXR2 Aktivierung"
